Palabra Original,Traducción
sistemas no lineales,nonlinear systems
tracking celular,tracking celular
indicadores bibliométricos y cienciométricos,bibliometric and scientometric indicators
economic regulation,economic regulation
public policy,public policy
competition and market power,competition and market power
economics of information,economics of information
contests,contests
optimización sistema productivo industrial,industrial production system optimization
vco,vco
normas,standards
equality of opportunity,equality of opportunity
monitorizacion del conductor,driver monitoring
gains from trade,gains from trade
blanqueo de capitales,money laundering
ecosistemas de interación,interaction ecosystems
computación de altas prestaciones,high performance computing
modelos de programación,programming models
lenguajes de programación,programming languages
legal systems,legal systems
egm,egm
sistemas de navegación secuencial cardiaca,cardiac sequential navigation systems
redes vehiculares urllc,urllc vehicular networks
política monetaria,monetary politics
sentiment analytics,sentiment analytics
adaptación,adaptation
protocols,protocols
gromov,gromov
teoría ergódica,ergodic theory
nano engineering,nano engineering
personas mayores,old people
radioterapia,radiotherapy
sincronismo,timing
resultado,result
evolutionary dynamics,evolutionary dynamics
genotype-phenotype,genotype-phenotype
social models,social models
fitness landscape,fitness landscape
citizen science,citizen science
modelo continuo,continuous model
estocastico,stochastic
lgbt,lgbt
modelos cognitivos,cognitive models
wlan,wlan
"""sistemas de almacenamiento de energía (bees)""","""energy storage systems (bees)"""
"""sistemas de gestión de energía (ems)""","""energy management systems (ems)"""
diversidad multi-usuario,multi-user diversity
robot cognition,robot cognition
supercondensadores,supercapacitors
tomografía computarizada de rayos x,x-ray computed tomography
social structure,social structure
erc consolidator grant,erc consolidator grant
geometria,geometry
reformas normativas.,regulatory reforms.
redes adhoc.,adhoc networks.
sustanable additive manufacturing,sustanable additive manufacturing
behavior,behavior
neural networks,neural networks
mental disorders,mental disorders
cinematografía,cinematography
ads-b,ads-b
usuario,user
robots sociales,social robots
transición a la democracia,transition to democracy
simulation engineering,simulation engineering
high voltage,high voltage
inventarios shocks monetarios y tecnológicos,inventories monetary and technological shocks
integrated microwave photonics,integrated microwave photonics
procesado termomecánico,thermomechanical processing
dynamic adaptivity,dynamic adaptivity
administración pública,public administration
tratamientos térmicos,thermal treatments
cámaras de vídeo inalámbricas,wireless video cameras
función sensorial,sensory function
rentas vitalicias,annuities
transporte aéreo,air Transport
unmanned aerial vehicle (uav),unmanned aerial vehicle (uav)
comunicaciones inalámbricas,wireless communications
implicación política,political involvement
rsc,rsc
indicadores de producción científica,scientific production indicators
etsi mec,etsi mech
identidad: identidad individual pública,identity: public individual identity
electromagnetismo computacional,computational electromagnetism
método de los elementos finitos,Finite element method
computación en paralelo,parallel computing
arrays de antenas,antenna arrays
organ-on-a-chip,organ-on-a-chip
derecho contractual,contract law
reformas,reforms
evidence-based-policy,evidence-based-policy
negociación algorítmica,algorithmic trading
teoría geométrica de funciones,geometric theory of functions
satcom,satcom
proyecto beps,beps project
derechos y nuevas tecnologías,rights and new technologies
electricidad,electricity
tecnología multiagentes,multi-agent technology
economics,economics
por culpa,because of guilt
análisis de texto,text analysis
análisis termomecánico,thermomechanical analysis
medios educativos,educational media
consultoría en el área de la estandarización ieee 802,consulting in the area of ​​IEEE 802 standardization
recuperación económica,Economic recovery
digital twin,digital twin
modelos físicos,physical models
systems engineering,systems engineering
financiacion i+d,r&d financing
diagnósticos de plasma de fusión medida,measured fusion plasma diagnostics
model-based systems engineering,model-based systems engineering
demostración de tecnologías,technology demonstration
europa mediterránea,mediterranean europe
integrated photonics,integrated photonics
reactores de fusión,fusion reactors
vehículos aéreos autónomos,autonomous aerial vehicles
tecnología electrónica,electronic technology
derecho internacional de los derechos humanos,International Law of human rights
incentivos a la inversión,investment incentives
teoría de,theory of
políticas de empleo,employment policies
distribución de tamaño de ciudades,size distribution of cities
ciencia jurídica,legal science
programming model,programming model
cojinete magnético,magnetic bearing
análisis empírico estructural experimentos,structural empirical analysis experiments
neuron mechanics,neuron mechanics
ciudad,ciudad
seguridad hardware,hardware security
cultura en redes sociales,culture in social networks
interfaz cerebro-ordenador,brain-computer interface
economía de la empresa,business Economics
lubricación,lubrication
flujos biomédicos,biomedical flows
disruptive,disruptive
design energy-efficient,design energy-efficient
métodos cuantitativos,quantitative methods
automatica,automatic
fallo mecánico,mechanical failure
fluidos dieléctricos,dielectric fluids
impactos,impacts
aprendizaje contextualizado,contextualized learning
dualidad,duality
italia,italia
banking,banking
dependabilidad,dependability
management,management
productos financieros,financial products
sensores ópticos,optical sensors
prueba,proof
geografía económica,economic geography
tecnologías limpias de combustión,clean combustion technologies
cjs,cjs
descarbonización,decarbonization
politica sanitaria,health policy
ensayos in vitro,in vitro tests
nuevas formas de organización empresarial,new forms of business organization
radio access network,radio access network
precios de mercado,market prices
industria agroalimentaria,agri-food industry
relace de imagen,session de imagen
mater magna,great mother
propiedad del subespacio errante,wandering subspace property
medioambiental,environmental
entangled histories,entangled histories
native network intelligence,native network intelligence
supervivencia,survival
interferometría láser,laser interferometry
aeroelasticity,aeroelasticity
automóvil,car
estromales,stromal
plataformas,platforms
llms,llms
historia contemporánea,Contemporary history
wearables,wearables
estudio integrador,integrative study
